win,fga,fgm,tpa,tpm,fta,ftm,oreb,dreb,reb,ast,stl,blk,pf,tov,fbpts,fbptsa,fbptsm,pip,pipa,pipm,ble,bpts,tf,scp,tmreb,tmtov,potov,home,away,date
1.0,-11,2,-3,-2,13,5,-6,4,-2,4,0,2,-5,0,16,3,6,18,8,9,10,-3,0,-1,7,0,-1,DET,NYK,2018-11-28
1.0,5,6,-8,-1,0,-3,0,-2,-2,1,2,3,-1,-8,-24,-12,-8,12,12,6,10,-3,0,7,-2,3,-9,MEM,SAC,2018-11-17
1.0,0,-1,-2,3,5,6,1,1,2,3,-1,-3,-1,-2,-1,-2,-2,-4,3,-2,-19,-3,1,-4,2,0,-1,ATL,DAL,2018-10-24
1.0,0,4,20,8,11,19,2,10,12,6,0,3,-6,-3,1,-1,0,4,-11,2,28,8,0,5,0,1,6,MIL,SAC,2018-11-04
1.0,2,21,-11,4,-2,-1,-4,17,13,14,5,1,2,-4,0,3,1,26,6,13,46,2,0,0,5,0,-2,DEN,ATL,2018-11-16
1.0,11,0,9,4,-1,-2,8,-2,6,11,1,-1,-1,-4,6,3,3,2,10,1,2,-1,0,16,0,1,8,PHI,SAS,2019-01-24
0.0,-11,-1,-19,-7,7,4,-8,-2,-10,5,-5,0,-7,1,11,8,5,12,9,6,-14,40,1,-3,-1,-2,0,LAC,DET,2019-01-12
0.0,-2,-3,2,-4,5,9,5,11,16,-1,0,-3,-5,9,2,-2,1,-2,0,-1,5,0,0,11,9,1,-12,POR,WAS,2018-10-23
1.0,-4,-3,4,5,6,8,1,0,1,4,7,0,1,-3,9,1,2,-16,-15,-8,19,17,0,-4,-6,1,13,MIN,NOP,2018-11-15
1.0,-2,-2,-14,-8,16,13,-2,2,0,0,4,-6,-4,-1,-8,-4,-4,6,8,3,-6,-2,0,8,7,0,0,IND,BOS,2018-11-03
1.0,-7,0,-9,-6,15,14,2,5,7,-2,5,-4,-4,-1,6,0,1,16,8,8,5,11,0,5,-3,0,5,MIL,NOP,2018-12-20
1.0,3,9,-7,1,-6,-4,4,12,16,0,2,2,8,-1,-5,-2,-1,18,12,9,25,-17,0,8,-2,2,4,CLE,WAS,2018-12-09
1.0,-7,4,-11,1,14,16,-7,5,-2,7,2,-4,-5,-3,3,-2,1,4,3,2,25,16,0,-6,-3,-1,6,CHA,ORL,2018-12-31
1.0,17,11,5,0,-6,-5,4,-3,1,12,6,0,1,-8,25,12,10,20,14,10,17,4,-1,-2,-2,1,8,TOR,BKN,2019-01-12
0.0,-16,-8,-8,-8,-1,-3,-15,-15,-30,-7,-1,8,-1,-1,8,7,5,10,-5,5,-30,13,1,-12,4,0,-4,PHX,MIN,2019-01-23
0.0,-4,-1,0,0,-8,-7,0,3,3,-5,-3,-4,6,9,-2,0,1,8,3,4,-11,22,2,12,9,0,-12,MIA,MIN,2018-12-30
